id,title,family,kind,sections,script_lines,primary_file,all_exports,duration_s,dimensions,variants,segment,credits,release_eligibility,editor_notes
OPS-03,"Editorial, historical evidence, and rights clearance ledger",ops,support,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,,,"decision-ledger.json, report.md",,,,,Producer-generated record; no media.,support,
OPS-04,"Integration QA, coverage audit, and editor handoff",ops,support,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,,,"editor-inventory.csv, exceptions.md, report.md",,,,,Producer-generated record; no media.,support,
HIST-04,Kemeny and Kurtz at Dartmouth,historical,archive,2,63,assets/historical/HIST-04/exports/editorial-frame.png,"editorial-frame.png, original.png",,1920x1080,"original, editorial-frame",,"Courtesy Dartmouth Libraries. Dartmouth Photographic Records, ""Kiewit Computation Center, Public Terminal Room: John G. Kemeny, Thomas E. Kurtz, Students,"" c. 1969. DA-181, Box 9453, Rauner Special Collections Library, Dartmouth College.",cleared,
XTRA-03,Early BASIC-era terminal hardware,historical,archive,2,63,assets/historical/XTRA-03/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"Teletype Model 33 ASR at the Computer History Museum. Photo: Arnold Reinhold, 2014, via Wikimedia Commons, CC BY-SA 3.0 (creativecommons.org/licenses/by-sa/3.0). Scaled and pillarboxed.",cleared,
XTRA-04,FORTRAN versus BASIC introductory example,reference-code,still,2,69,assets/reference-code/XTRA-04/exports/poster.png,"comparison.png, contact-sheet.png, poster.png",,1920x1080,comparison,,,cleared,
HIST-05,Commodore 64 BASIC boot screen,historical,archive,2,75,assets/historical/HIST-05/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,,cleared,Commodore 64 image is an undocumented render of the boot screen.
HIST-06,Apple II BASIC boot screen,historical,archive,2,75,assets/historical/HIST-06/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"""Applesoft BASIC"" screenshot by Wikimedia Commons user Vadimr, released into the public domain (PD-self). https://commons.wikimedia.org/wiki/File:Applesoft_BASIC.png",cleared,"Apple II image is a typed Applesoft session showing the ] prompt, not a power-on screen."
HIST-07,TRS-80 BASIC boot screen,historical,archive,2,75,assets/historical/HIST-07/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,,cleared,"TRS-80 image is a typed ?MEM session, not a power-on screen."
REF-04,BASIC 10 PRINT / 20 GOTO,reference-code,motion,2,79,assets/reference-code/REF-04/exports/preview.mp4,"clean.png, contact-sheet.png, poster.png, preview.mp4, teaching-focus.png",8,1920x1080,"clean, teaching-focus",,,cleared,
REF-02,Windows C Hello World: historical boilerplate comparison,reference-code,motion,2,90,assets/reference-code/REF-02/exports/preview.mp4,"clean.png, contact-sheet.png, poster.png, preview.mp4, teaching-focus.png",26.8,1920x1080,"clean, teaching-focus",,,cleared,
HIST-01,VB 1.0 IDE,historical,archive,2,94,assets/historical/HIST-01/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"Microsoft Visual Basic 1.0 for Windows. Screenshot via WinWorld (winworldpc.com). Used with permission from Microsoft. [PROPOSED - the permission statement is valid only if rights review confirms Microsoft's screenshot guidelines cover this use] | Microsoft Visual Basic 1.0 for Windows, (c) 1987-1991 Microsoft Corp.; portions developed for Microsoft by Cooper Software, Inc. (per in-frame About box)",cleared,
REF-03,Classic VB MsgBox event handler,reference-code,code,2,100,assets/reference-code/REF-03/exports/preview.mp4,"clean.png, contact-sheet.png, poster.png, preview.mp4, teaching-focus.png",10,1920x1080,"clean, teaching-focus",,,cleared,
DIA-14,VB timeline: VB1 through VB.NET,diagrams,still,2 15,110 679,assets/diagrams/DIA-14/exports/poster.png,"contact-sheet.png, early-history.png, great-divide.png, poster.png",,1920x1080,"early-history, great-divide",,,cleared,
HIST-08,Windows 95 launch footage still,historical,archive,2,114,assets/historical/HIST-08/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"Computer Chronicles, ""Windows 95"" (1995) © Stewart Cheifet Productions. Courtesy of the Internet Archive.",cleared,
CH-02,Chapter 02: A Very Brief History of BASIC to Visual Basic,chapters,motion,2,,assets/chapters/CH-02/exports/preview.mp4,"chapter-hold.png, chapter-motion.png, contact-sheet.png, poster.png, preview.mp4",4,1920x1080,"chapter-hold, chapter-motion",,,cleared,
FACT-01,BASIC acronym,facts,still,2,,assets/facts/FACT-01/exports/poster.png,"contact-sheet.png, factoid.png, poster.png",,1920x1080,factoid,,,cleared,
FACT-04,VB3 and the Jet database engine,facts,still,2,,assets/facts/FACT-04/exports/poster.png,"contact-sheet.png, factoid.png, poster.png",,1920x1080,factoid,,,cleared,
HIST-11,Visual Basic 4 retail box,historical,archive,3,122,assets/historical/HIST-11/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"Microsoft Visual Basic 4.0 Enterprise Edition CD-ROM (1995), (c) Microsoft Corporation. Scan via Internet Archive (textfiles.com CD-ROM software collection).",cleared,
XTRA-07,Visual Basic 4 installation media,historical,archive,3,122,assets/historical/XTRA-07/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"Microsoft Visual Basic 4.0 Enterprise Edition CD-ROM (Microsoft Corporation, © 1991–1995). Scan: Internet Archive item ""microsoft-visual-basic-4.0-enterprise-4.00.2422-1996-02-02-english-cd"", uploaded by RetroGreekCollection. Rights not cleared.",cleared,
XTRA-05,VB4 IDE anatomy: five labeled panels,stills,still,3,130,assets/stills/XTRA-05/exports/poster.png,"clean-workspace.png, contact-sheet.png, five-callouts.png, poster.png, side-by-side.png",,1920x1080,"clean-workspace, five-callouts, side-by-side",,,cleared,
DIA-01,Event-driven programming: action → handler → code,diagrams,motion,3,136,assets/diagrams/DIA-01/exports/preview.mp4,"click-handler.png, contact-sheet.png, overview.png, poster.png, preview.mp4",12,1920x1080,"overview, click-handler",,,cleared,
BROLL-03,1990s office with CRT monitors,broll,archive,3 12,,assets/broll/BROLL-03/source/pexels-8869925-mart-production-man-working-at-an-office-4096x2160-25fps.mp4,"acquisition-handoff.md, candidates.md",27.84,4096x2160,"candidate-report, selected-segment",in 00:00:01.000 out 00:00:11.000,"Video: MART PRODUCTION / Pexels | The Computer Systems in the Japanese Patent Office (Japanese Patent Office, c. 1989), via Internet Archive",cleared,"A 2021 retro-styled recreation, not period footage; set reads 1970s–80s. Cut 00:01.0–00:11.0. Never present as archive."
BROLL-04,Browsing a 1990s software store,broll,archive,3 12,,assets/broll/BROLL-04/source/1995-08-23_compusa-norwalk_dan-lynch_original.mp4,"acquisition-handoff.md, candidates.md",230.621,854x480,candidate-report,in 00:02:16.0 out 00:02:22.5,"Windows 95 launch night, CompUSA, Norwalk, Connecticut, 23 August 1995. Video: Dan Lynch, via the Internet Archive. | Video: Ted Spero (via Internet Archive) | NBC 5/KXAS Television News Collection (AR0776), University of North Texas Special Collections",cleared,"Cut 00:02:16.0–00:02:22.5 (6.5 s, ends before the handshake). Active picture is 632×480 inside 854×480: pillarbox the upscaled 4:3 picture, do not crop. Mute the segment (audio never auditioned). Genuine 1995 CompUSA launch-night footage."
BROLL-05,Floppy disk insertion close-up,broll,archive,3 12,,assets/broll/BROLL-05/source/pexels-20503026-stefan-floppy-insert-1920x1080.mp4,"acquisition-handoff.md, candidates.md",11.156667,,"candidate-report, selected-segment",,Video: Stefan / Pexels,cleared,"Clean insertion span 00:00.00–00:06.00; disk label reads IBM/2HD. Bare drive on diamond plate, not an installed PC."
BROLL-06,Pentium-era PC booting,broll,archive,3 12,,assets/broll/BROLL-06/source/pexels-8888818-mart-production-vintage-computer.mp4,"acquisition-handoff.md, candidates.md",11.8,,candidate-report,in 00:00:00.500 out 00:00:10.500,"Video by MART PRODUCTION from Pexels | ""BIOS POST IMGP9357 wp.ogv"" by Rainer Knäpper (Smial), Free Art License 1.3, via Wikimedia Commons",cleared,"Room cutaway with a dark, blank CRT: NOT a boot, NOT a power-on, no CPU visible. Never caption 'Pentium' or call it a boot; narration carries 'booting'. Frame or scale so the ViewSonic E70 bezel mark is not prominent. Cut 00:00.5–00:10.5."
CH-03,Chapter 03: The Toolchain: What You Actually Installed,chapters,motion,3,,assets/chapters/CH-03/exports/preview.mp4,"chapter-hold.png, chapter-motion.png, contact-sheet.png, poster.png, preview.mp4",4,1920x1080,"chapter-hold, chapter-motion",,,cleared,
FACT-03,RAD: Rapid Application Development,facts,still,3,,assets/facts/FACT-03/exports/poster.png,"contact-sheet.png, factoid.png, poster.png",,1920x1080,factoid,,,cleared,
HIST-09,CompUSA storefront,historical,archive,3,,assets/historical/HIST-09/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"Home video: Dan Lynch — Windows 95 'Midnight Madness', CompUSA, Aug. 24, 1995. Via Internet Archive.",cleared,Night exterior with a burned-in camcorder date stamp (AUG. 24 1995); keep the stamp.
HIST-10,Egghead Software storefront,historical,archive,3,,assets/historical/HIST-10/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"Archival footage: ""Buying Windows 95 on Launch Day"" (uploaded by Vampire Robot, 2022), via Internet Archive item youtube-CcbAC4qI9pQ. Original source unknown.",cleared,
TERM-01,Project creation and actual SDK version,captures,capture,4,144 152,assets/captures/TERM-01/exports/framed.png,framed.png,,1920x1080,"raw, framed",,,cleared,"Stills from real captures, not screen recordings; live recording is handoff H01."
XTRA-06,Project settings: actual War.vbproj capture,captures,capture,4,164,assets/captures/XTRA-06/exports/framed-directives.png,"framed-directives.png, framed.png, settings-focus.png",,1920x1080,"project-file, settings-focus, source-directives (supplementary evidence)",,,cleared,"Stills from real captures, not screen recordings; live recording is handoff H01."
CH-04,Chapter 04: How We're Doing This Today,chapters,motion,4,,assets/chapters/CH-04/exports/preview.mp4,"chapter-hold.png, chapter-motion.png, contact-sheet.png, poster.png, preview.mp4",4,1920x1080,"chapter-hold, chapter-motion",,,cleared,
CODE-01,Options: explicit and strict,code,code,4,,assets/code/CODE-01/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
CODE-26,Undeclared variable: created on first use as a Variant,code,motion,4,,assets/code/CODE-26/exports/preview.mp4,"callout.png, clean.png, contact-sheet.png, poster.png, preview.mp4",6,1920x1080,"clean, callout",,,cleared,
CODE-27,"Nintendo and Nintendont: the silent typo, and what Option Explicit does about it",code,motion,4,,assets/code/CODE-27/exports/preview.mp4,"contact-sheet.png, option-explicit.png, poster.png, preview.mp4, typo.png",9,1920x1080,"typo, option-explicit",,,cleared,
OPS-02,Isolated .NET harness and capture preflight,ops,support,4 11,,,"harness-manifest.json, report.md",,,harness,,,support,
DIA-02,"War rules: shuffle, deal, flip, compare, collect",diagrams,motion,5 9,172 182 186 190 401,assets/diagrams/DIA-02/exports/preview.mp4,"alternating-deal.mp4, alternating-deal.png, contact-sheet.png, deck-hold.mp4, deck-hold.png, final-hold.mp4, final-hold.png, full-rules.mp4, full-rules.png, normal-round.mp4, normal-round.png, poster.png, preview.mp4, single-war.mp4, single-war.png",35,1920x1080,"full-rules, deck-hold, alternating-deal, normal-round, single-war, final-hold",,,cleared,
DIA-08,"War mechanic: tie, burn, flip, award",diagrams,motion,5 10,483 511,assets/diagrams/DIA-08/exports/preview.mp4,"award-to-bottom.mp4, award-to-bottom.png, contact-sheet.png, endgame.mp4, endgame.png, four-panel-poster.png, poster.png, preview.mp4, single-war-motion.mp4, single-war-motion.png",12,1920x1080,"four-panel-poster, single-war-motion, award-to-bottom, endgame",,,cleared,
BROLL-01,Hands shuffling physical cards,broll,archive,5,,assets/broll/BROLL-01/source/mixkit-100384-deck-of-cards-being-shuffled-1080p.mp4,"acquisition-handoff.md, candidates.md",19.394375,,"candidate-report, acquired-original",in 00:00:05.000 out 00:00:16.000,Footage: Mixkit | Mixkit,cleared,"Shuffle on printed casino felt (yellow '10', betting lines; partial 'TEXAS HOLD'EM' lettering enters near the 16.0 s out). Cut 00:05.0–00:16.0."
BROLL-02,Two people playing War,broll,archive,5,,assets/broll/BROLL-02/source/pexels-38810850-jellymarketing-elderly-couple-cards-1920x1080.mp4,"acquisition-handoff.md, candidates.md",9.634625,1920x1080,candidate-report,,,cleared,"NOT War: a generic two-player card game (fanned hands, shared stock). Use as a labeled fallback only; 9.6 s with no handles."
CH-05,Chapter 05: The Card Game War: Rules in 60 Seconds,chapters,motion,5,,assets/chapters/CH-05/exports/preview.mp4,"chapter-hold.png, chapter-motion.png, contact-sheet.png, poster.png, preview.mp4",4,1920x1080,"chapter-hold, chapter-motion",,,cleared,
DIA-15,Animated riffle shuffle of a real deck,diagrams,motion,5 7,,assets/diagrams/DIA-15/exports/preview.mp4,"contact-sheet.png, loop.mp4, loop.png, poster.png, preview.mp4, riffle.mp4, riffle.png",12,1920x1080,"riffle, loop",,,cleared,
CODE-02,Card structure: Rank and Suit,code,code,6,200 215 225,assets/code/CODE-02/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
DIA-03,Card rank mapping: 2 through Ace,diagrams,still,6,219,assets/diagrams/DIA-03/exports/poster.png,"contact-sheet.png, full-chart.png, poster.png",,1920x1080,full-chart,,,cleared,
CH-06,Chapter 06: Modeling a Card in VB,chapters,motion,6,,assets/chapters/CH-06/exports/preview.mp4,"chapter-hold.png, chapter-motion.png, contact-sheet.png, poster.png, preview.mp4",4,1920x1080,"chapter-hold, chapter-motion",,,cleared,
CMP-01,Variable declaration: type before versus after,comparisons,still,6,,assets/comparisons/CMP-01/exports/poster.png,"comparison.png, contact-sheet.png, poster.png, token-focus.png",,1920x1080,"comparison, token-focus",,,cleared,
CODE-23,RankName Select Case,code,code,6 11,,assets/code/CODE-23/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10.25,1920x1080,"clean, highlighted",,,cleared,
CODE-24,CardText suit names and concatenation,code,code,6 9,,assets/code/CODE-24/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
FACT-02,Dim: a word inherited from array dimensions,facts,still,6,,assets/facts/FACT-02/exports/poster.png,"contact-sheet.png, factoid.png, poster.png",,1920x1080,factoid,,,cleared,
TERM-03,Complete Program.vb readable scrollthrough stills,captures,capture,6 7 8 9 10,,assets/captures/TERM-03/exports/contact-sheet.png,"contact-sheet.png, framed-02.png, framed-03.png, framed-04.png, framed-05.png, framed-06.png, framed-07.png, framed-08.png, framed-09.png, framed-10.png, framed-11.png, framed-12.png, framed.png",,1920x1080,"raw, framed",,,cleared,"Stills from real captures, not screen recordings; live recording is handoff H01."
CODE-03,BuildDeck procedure,code,code,7,235,assets/code/CODE-03/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
DIA-07,BuildDeck nested loops: 4 suits × 13 ranks,diagrams,motion,7,261,assets/diagrams/DIA-07/exports/preview.mp4,"contact-sheet.png, first-rank-closeup.png, full-grid.png, poster.png, preview.mp4",18,1920x1080,"full-grid, first-rank-closeup",,,cleared,
CMP-02,Void method versus Sub procedure,comparisons,motion,7,267,assets/comparisons/CMP-02/exports/preview.mp4,"byref-note.png, comparison.png, contact-sheet.png, poster.png, preview.mp4, token-focus.png",8,1920x1080,"comparison, token-focus, byref-note",,,cleared,
DIA-04,ByRef versus ByVal: caller variable and local parameter,diagrams,motion,7 10,275,assets/diagrams/DIA-04/exports/preview.mp4,"byref.png, byval.png, contact-sheet.png, cpp.png, poster.png, preview.mp4",10,1920x1080,"byval, byref, cpp",,,cleared,
CODE-04,Nested For / Next matching brackets,code,code,7,279,assets/code/CODE-04/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
DIA-06,Fisher–Yates shuffle: backward swaps,diagrams,motion,7,301,assets/diagrams/DIA-06/exports/preview.mp4,"contact-sheet.png, miniature-trace.png, poster.png, preview.mp4, real-code-bounds.png",21,1920x1080,"miniature-trace, real-code-bounds",,,cleared,
CH-07,Chapter 07: Building and Shuffling the Deck,chapters,motion,7,,assets/chapters/CH-07/exports/preview.mp4,"chapter-hold.png, chapter-motion.png, contact-sheet.png, poster.png, preview.mp4",4,1920x1080,"chapter-hold, chapter-motion",,,cleared,
CMP-03,For loop and named Next,comparisons,motion,7,,assets/comparisons/CMP-03/exports/preview.mp4,"comparison.png, contact-sheet.png, poster.png, preview.mp4, token-focus.png, transform.png",9,1920x1080,"comparison, token-focus, transform",,,cleared,
CMP-04,Counting backward: decrement versus Step -1,comparisons,still,7,,assets/comparisons/CMP-04/exports/poster.png,"comparison.png, contact-sheet.png, poster.png, token-focus.png",,1920x1080,"comparison, token-focus",,,cleared,
CODE-05,ShuffleDeck procedure,code,code,7,,assets/code/CODE-05/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
CODE-28,Every variable declared at the top: the Dim block of a Program.vb subroutine,code,code,7,,assets/code/CODE-28/exports/poster.png,"clean.png, contact-sheet.png, highlighted.png, poster.png",,1920x1080,"clean, highlighted",,,cleared,
REF-05,C89: declarations at the top of the block,reference-code,still,7,,assets/reference-code/REF-05/exports/poster.png,"clean.png, contact-sheet.png, poster.png, top-focus.png",,1920x1080,"clean, top-focus",,,cleared,
CODE-06,Hand structure,code,code,8,311,assets/code/CODE-06/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
CODE-08,AddCardToBottom procedure,code,code,8,311,assets/code/CODE-08/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
CODE-09,DrawTopCard function,code,code,8,311,assets/code/CODE-09/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
DIA-05,"Array as queue: live slots, draw, shift, append",diagrams,motion,8,328 358,assets/diagrams/DIA-05/exports/preview.mp4,"52-slot-overview.png, append-at-count.png, append.mp4, append.png, contact-sheet.png, cost.mp4, cost.png, draw-and-shift.png, draw-shift.mp4, draw-shift.png, live-slots.mp4, live-slots.png, poster.png, preview.mp4",22.5,1920x1080,"live-slots, append, draw-shift, cost",,,cleared,
CODE-10,Return by assigning to the function name,code,code,8,368,assets/code/CODE-10/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
CMP-05,Returning a value,comparisons,still,8,374,assets/comparisons/CMP-05/exports/poster.png,"comparison.png, contact-sheet.png, poster.png, token-focus.png",,1920x1080,"comparison, token-focus",,,cleared,
CH-08,Chapter 08: The Player's Hand: Arrays as Queues,chapters,motion,8,,assets/chapters/CH-08/exports/preview.mp4,"chapter-hold.png, chapter-motion.png, contact-sheet.png, poster.png, preview.mp4",4,1920x1080,"chapter-hold, chapter-motion",,,cleared,
CMP-09,"A queue in 1995: Queue<Card>, std::queue, and a VB array with ReDim",comparisons,still,8,,assets/comparisons/CMP-09/exports/poster.png,"comparison.png, contact-sheet.png, poster.png, token-focus.png",,1920x1080,"comparison, token-focus",,,cleared,
CODE-07,NewHand initialization,code,code,8,,assets/code/CODE-07/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
FACT-05,The function name can hold the return value,facts,still,8,,assets/facts/FACT-05/exports/poster.png,"contact-sheet.png, factoid.png, poster.png",,1920x1080,factoid,,,cleared,
NAR-01,Narration re-reads: C++ and C# must be heard as spoken,ops,support,8 12,,,,,,,,,support,
CODE-13,Main Do While game loop,code,code,9,384,assets/code/CODE-13/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
DIA-10,"Game flowchart: setup, rounds, war loop, result",diagrams,still,9 10,418,assets/diagrams/DIA-10/exports/poster.png,"contact-sheet.png, main-flow.png, playround-detail.png, poster.png",,1920x1080,"main-flow, playround-detail",,,cleared,
CMP-06,String concatenation,comparisons,still,9,424,assets/comparisons/CMP-06/exports/poster.png,"comparison.png, contact-sheet.png, poster.png, token-focus.png",,1920x1080,"comparison, token-focus",,,cleared,
CH-09,Chapter 09: The Game Loop,chapters,motion,9,,assets/chapters/CH-09/exports/preview.mp4,"chapter-hold.png, chapter-motion.png, contact-sheet.png, poster.png, preview.mp4",4,1920x1080,"chapter-hold, chapter-motion",,,cleared,
CMP-07,While loop spelling,comparisons,still,9,,assets/comparisons/CMP-07/exports/poster.png,"comparison.png, contact-sheet.png, poster.png, token-focus.png",,1920x1080,"comparison, token-focus",,,cleared,
CMP-08,Line continuation,comparisons,still,9,,assets/comparisons/CMP-08/exports/poster.png,"comparison.png, contact-sheet.png, poster.png, token-focus.png",,1920x1080,"comparison, token-focus",,,cleared,
CODE-11,"Main setup: build, shuffle, new hands, deal",code,code,9,,assets/code/CODE-11/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
CODE-12,DealCards: alternating distribution,code,code,9,,assets/code/CODE-12/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
CODE-14,Round-cap safety valve,code,code,9,,assets/code/CODE-14/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
CODE-15,PlayRound signature and argument modes,code,code,10,436,assets/code/CODE-15/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10.25,1920x1080,"clean, highlighted",,,cleared,
CODE-17,Mid-war empty-hand guards,code,code,10,436,assets/code/CODE-17/exports/preview.mp4,"clean-page-02.png, clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",12.0,1920x1080,"clean, highlighted, clean-page-02",,,cleared,
CODE-18,Draw a pair and append to the pot,code,code,10,436,assets/code/CODE-18/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
CODE-19,Rank comparison and round winner,code,code,10,436,assets/code/CODE-19/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
DIA-09,Pot growth: 2 → 10 → 18,diagrams,motion,10 11,456 555,assets/diagrams/DIA-09/exports/preview.mp4,"2-10-18-poster.png, contact-sheet.png, double-war-growth.png, poster.png, preview.mp4",15,1920x1080,"2-10-18-poster, double-war-growth",,,cleared,
CODE-22,GiveCardsToWinner procedure,code,code,10,511,assets/code/CODE-22/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
CH-10,Chapter 10: War! The Recursion Within the Loop,chapters,motion,10,,assets/chapters/CH-10/exports/preview.mp4,"chapter-hold.png, chapter-motion.png, contact-sheet.png, poster.png, preview.mp4",4,1920x1080,"chapter-hold, chapter-motion",,,cleared,Chapter title keeps the author's 'Recursion' wording; the code uses a loop and the narration says so at :460.
CODE-16,Pot declaration and count,code,code,10,,assets/code/CODE-16/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
CODE-20,War counters and symmetric burn loop,code,code,10,,assets/code/CODE-20/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
CODE-21,Colon statement separator,code,code,10,,assets/code/CODE-21/exports/preview.mp4,"clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",10,1920x1080,"clean, highlighted",,,cleared,
TERM-05,Alternate complete simulation: run B,captures,capture,11,569,assets/captures/TERM-05/exports/framed-first-war.png,"framed-first-war.png, framed-start.png, framed.png",,1920x1080,"raw, framed",,,cleared,"Stills from real captures, not screen recordings; live recording is handoff H01."
TERM-06,Alternate complete simulation: run C,captures,capture,11,569,assets/captures/TERM-06/exports/framed-first-war.png,"framed-first-war.png, framed-start.png, framed.png",,1920x1080,"raw, framed",,,cleared,"Stills from real captures, not screen recordings; live recording is handoff H01."
CH-11,Chapter 11: Running It: Full Simulation,chapters,motion,11,,assets/chapters/CH-11/exports/preview.mp4,"chapter-hold.png, chapter-motion.png, contact-sheet.png, poster.png, preview.mp4",4,1920x1080,"chapter-hold, chapter-motion",,,cleared,
CODE-25,Winner and final summary output code,code,code,11 16,,assets/code/CODE-25/exports/preview.mp4,"clean-page-02.png, clean.png, contact-sheet.png, highlighted.png, poster.png, preview.mp4",12.25,1920x1080,"clean, highlighted, clean-page-02",,,cleared,
